[Mon Sep 21 06:36:16.649917 2015] [mpm_prefork:notice] [pid 23763] AH00163: Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 mod_perl/2.0.8 Perl/v5.18.2 configured -- resuming normal operations
[Mon Sep 21 06:36:16.649938 2015] [core:notice] [pid 23763] AH00094: Command line: '/usr/sbin/apache2'
[Mon Sep 21 06:47:37.055109 2015] [:error] [pid 19115] [client 222.186.129.5:3648] script '/var/www/html/POST_ip_port.php' not found or unable to stat, referer: http://123.249.24.233/POST_ip_port.phpAccept: */*
[Tue Sep 22 09:48:14.746014 2015] [:error] [pid 19115] [client 179.99.205.228:45682] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:09:21.085157 2015] [:error] [pid 21269] [client 179.99.205.228:32326] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/livros.php?ano_3
[Tue Sep 22 10:09:21.085221 2015] [:error] [pid 21269] [client 179.99.205.228:32326] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/livros.php?ano_3
[Tue Sep 22 10:09:42.585430 2015] [:error] [pid 21258] [client 179.99.205.228:26534] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:09:42.585508 2015] [:error] [pid 21258] [client 179.99.205.228:26534] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:27:54.333264 2015] [:error] [pid 21293] [client 179.99.205.228:64399] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:27:54.333381 2015] [:error] [pid 21293] [client 179.99.205.228:64399] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:30:12.751872 2015] [:error] [pid 21257] [client 179.99.205.228:39267] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:30:12.751917 2015] [:error] [pid 21257] [client 179.99.205.228:39267] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:30:12.861717 2015] [:error] [pid 21257] [client 179.99.205.228:39267] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:30:12.861748 2015] [:error] [pid 21257] [client 179.99.205.228:39267] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:26.760062 2015] [:error] [pid 21180] [client 179.99.205.228:33760] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:26.760140 2015] [:error] [pid 21180] [client 179.99.205.228:33760] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:35.686975 2015] [:error] [pid 21220] [client 179.99.205.228:24265] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:35.687018 2015] [:error] [pid 21220] [client 179.99.205.228:24265] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:35.717035 2015] [:error] [pid 21292] [client 179.99.205.228:31089] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:35.717081 2015] [:error] [pid 21292] [client 179.99.205.228:31089] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:40.247353 2015] [:error] [pid 21292] [client 179.99.205.228:31089] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:40.247396 2015] [:error] [pid 21292] [client 179.99.205.228:31089] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:49.972367 2015] [:error] [pid 21269] [client 179.99.205.228:49788] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:49.972419 2015] [:error] [pid 21269] [client 179.99.205.228:49788] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:56.119726 2015] [:error] [pid 21175] [client 179.99.205.228:32546] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:32:56.119772 2015] [:error] [pid 21175] [client 179.99.205.228:32546] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:33:14.800400 2015] [:error] [pid 21293] [client 179.99.205.228:57443] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:33:14.800498 2015] [:error] [pid 21293] [client 179.99.205.228:57443] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:12.988250 2015] [:error] [pid 21262] [client 179.99.205.228:38903] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:34:12.988310 2015] [:error] [pid 21262] [client 179.99.205.228:38903] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:34:15.449028 2015] [:error] [pid 19126] [client 179.99.205.228:51386] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForumResposta.php on line 7, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:15.449070 2015] [:error] [pid 19126] [client 179.99.205.228:51386] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForumResposta.php on line 7, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:15.449305 2015] [:error] [pid 19126] [client 179.99.205.228:51386] PHP Notice:  Undefined index: funcao in /var/www/html/template/TemplateForumResposta.php on line 13, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:15.449454 2015] [:error] [pid 19126] [client 179.99.205.228:51386] PHP Warning:  include_once(DatasFuncao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForumResposta.php on line 13, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:15.449472 2015] [:error] [pid 19126] [client 179.99.205.228:51386] PHP Warning:  include_once(): Failed opening 'DatasFuncao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForumResposta.php on line 13, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:15.449486 2015] [:error] [pid 19126] [client 179.99.205.228:51386] PHP Notice:  Undefined index: funcao in /var/www/html/forumResposta.php on line 12, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:15.449520 2015] [:error] [pid 19126] [client 179.99.205.228:51386] PHP Warning:  include_once(DatasFuncao.php): failed to open stream: No such file or directory in /var/www/html/forumResposta.php on line 12, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:15.449531 2015] [:error] [pid 19126] [client 179.99.205.228:51386] PHP Warning:  include_once(): Failed opening 'DatasFuncao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/forumResposta.php on line 12, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:15.449552 2015] [:error] [pid 19126] [client 179.99.205.228:51386] PHP Fatal error:  Class 'DatasFuncao' not found in /var/www/html/forumResposta.php on line 14, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:21.596159 2015] [:error] [pid 21269] [client 179.99.205.228:64634] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:34:21.596201 2015] [:error] [pid 21269] [client 179.99.205.228:64634] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:34:23.386930 2015] [:error] [pid 21269] [client 179.99.205.228:64634] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:34:23.386971 2015] [:error] [pid 21269] [client 179.99.205.228:64634] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForum.php on line 8, referer: http://187.73.149.26:8080/mensagens.php
[Tue Sep 22 10:34:24.681642 2015] [:error] [pid 19126] [client 179.99.205.228:38655] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForumResposta.php on line 7, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:24.681682 2015] [:error] [pid 19126] [client 179.99.205.228:38655] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForumResposta.php on line 7, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:24.681849 2015] [:error] [pid 19126] [client 179.99.205.228:38655] PHP Notice:  Undefined index: funcao in /var/www/html/template/TemplateForumResposta.php on line 13, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:24.681900 2015] [:error] [pid 19126] [client 179.99.205.228:38655] PHP Warning:  include_once(DatasFuncao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForumResposta.php on line 13, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:24.681931 2015] [:error] [pid 19126] [client 179.99.205.228:38655] PHP Warning:  include_once(): Failed opening 'DatasFuncao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForumResposta.php on line 13, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:24.681944 2015] [:error] [pid 19126] [client 179.99.205.228:38655] PHP Notice:  Undefined index: funcao in /var/www/html/forumResposta.php on line 12, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:24.681979 2015] [:error] [pid 19126] [client 179.99.205.228:38655] PHP Warning:  include_once(DatasFuncao.php): failed to open stream: No such file or directory in /var/www/html/forumResposta.php on line 12, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:24.681990 2015] [:error] [pid 19126] [client 179.99.205.228:38655] PHP Warning:  include_once(): Failed opening 'DatasFuncao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/forumResposta.php on line 12, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:24.682010 2015] [:error] [pid 19126] [client 179.99.205.228:38655] PHP Fatal error:  Class 'DatasFuncao' not found in /var/www/html/forumResposta.php on line 14, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:26.896921 2015] [:error] [pid 21180] [client 179.99.205.228:4107] PHP Warning:  include_once(/var/www/html/dao/ForumQuestaoDao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForumResposta.php on line 7, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:26.897343 2015] [:error] [pid 21180] [client 179.99.205.228:4107] PHP Warning:  include_once(): Failed opening '/var/www/html/dao/ForumQuestaoDao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForumResposta.php on line 7, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:26.897483 2015] [:error] [pid 21180] [client 179.99.205.228:4107] PHP Notice:  Undefined index: funcao in /var/www/html/template/TemplateForumResposta.php on line 13, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:26.897544 2015] [:error] [pid 21180] [client 179.99.205.228:4107] PHP Warning:  include_once(DatasFuncao.php): failed to open stream: No such file or directory in /var/www/html/template/TemplateForumResposta.php on line 13, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:26.897557 2015] [:error] [pid 21180] [client 179.99.205.228:4107] PHP Warning:  include_once(): Failed opening 'DatasFuncao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/template/TemplateForumResposta.php on line 13, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:26.897569 2015] [:error] [pid 21180] [client 179.99.205.228:4107] PHP Notice:  Undefined index: funcao in /var/www/html/forumResposta.php on line 12, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:26.897602 2015] [:error] [pid 21180] [client 179.99.205.228:4107] PHP Warning:  include_once(DatasFuncao.php): failed to open stream: No such file or directory in /var/www/html/forumResposta.php on line 12, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:26.897613 2015] [:error] [pid 21180] [client 179.99.205.228:4107] PHP Warning:  include_once(): Failed opening 'DatasFuncao.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/forumResposta.php on line 12, referer: http://187.73.149.26:8080/forum.php
[Tue Sep 22 10:34:26.897633 2015] [:error] [pid 21180] [client 179.99.205.228:4107] PHP Fatal error:  Class 'DatasFuncao' not found in /var/www/html/forumResposta.php on line 14, referer: http://187.73.149.26:8080/forum.php
